Protein Name,SGD ID,Gene length (bp),expression,Solubilization DDM,Molecular Weight (Da),PI,Charge,Extiction Coefficient,DScore,#Amino acids,#TMH,Cys%,Met%,Trp%,Tyr%,Special Note
YA64B,YAL064W-B,381,-,-,13273.2,3.92,-13.5,0.19,0.064,126,3,4,2.4,0,1.6,
YET1,YKL065C,621,**,-,23427.2,10.34,13.5,0.68,0.698,206,3,1,1.9,0.5,3.9,
YPR71,YPR071W,636,***,***,24605.7,10.18,13.5,1.68,0.197,211,4,1.4,4.3,2.4,4.7,
VATO,YHR026W,642,*,*,22595.7,8.43,3,1.27,0.383,213,5,1.4,2.8,1.4,4.2,
YO162,YOL162W,648,-,-,44599.5,9.94,19.5,2.2,0.336,389,9,1.5,3.9,3.3,4.9,
YCQ0,YCR010C,852,***,***,30726.1,4.79,-5,1.51,0.012,283,5,1.1,1.8,1.8,4.9,
YNT4,YNL194C,906,**,*,34081.2,10.17,19.5,1.69,0.707,301,4,2,2,2.3,4.7,
YIP5,YGL161C,933,**,**,34843.1,4.57,-9,1.22,0.024,310,4,0.6,2.3,1.6,3.5,FLAG signal only
FLX1,YIL134W,936,*,*,34409.1,10.42,21,1.15,0.157,311,3,0.6,2.3,1.3,4.2,
YP114,YPR114W,948,**,**,36750.2,9.61,14,1.8,0.122,315,5,1.3,1.6,2.5,5.1,
YHU2,YHR142W,951,*,*,34898.2,5.59,-2,1.26,0.207,316,7,2.8,2.8,1.6,3.8,
YN91,YNR062C,984,-,-,35658.5,9.82,13,0.84,0.416,327,8,1.8,3.7,0.9,3.1,
ELO2,YCR034W,1044,***,***,40002,9.82,21.5,1.7,0.134,347,7,1.4,1.4,2,6.3,
SFK1,YKL051W,1062,***,***,40462.6,7.32,4.5,2.52,0.623,353,6,1.7,2.5,3.7,6.2,
YIA6,YIL006W,1122,**,**,41954.3,8.83,10,0.9,0.076,373,3,1.3,2.4,0.8,4.3,
PFA5,YDR459C,1125,**,**,42922.8,8.46,12,1.89,0.861,374,4,3.5,1.9,2.7,5.1,HIS>>>FLAG
COS4,YFL062W,1140,-,-,45312,9.09,10.5,2.53,0.17,379,4,2.1,3.2,4.5,3.7,
COS6,YGR295C,1146,-,-,45678.2,9.43,12,2.36,0.18,381,4,1.6,2.9,4.2,3.4,
SCS7,YMR272C,1155,**,**,44881.4,6.54,0.5,1.83,0.044,384,3,1.8,2.3,2.3,6.2,
YB42,YBR042C,1194,*,*,45515,9.8,18.5,1.63,0.485,397,4,1,1,2.3,4.5,FLAG signal only
ZRT2,YLR130C,1269,-,-,46362.9,4.83,-13.5,1.12,0.5,422,7,1.4,2.4,1.4,3.3,
YO11A,YOL103W-A,1323,***,***,49005.3,8.29,8,0.82,0.031,440,0,0.9,2.7,0.7,4.1,HIS>>>FLAG
STE24,YJR117W,1362,**,**,52324,8.09,7.5,1.06,0.143,453,4,0.7,2.9,1.1,4.6,
YTP1,YNL237W,1380,,,51643.9,6.68,1.5,1.8,0.736,459,10,3,2.6,2.8,3.3,failed in cloning
ISC1,YER019W,1434,**,***,53940.4,7.58,8,1.48,0.026,477,2,2.1,1.3,2.1,3.8,HIS>>>FLAG
AVT7,YIL088C,1473,**,**,53736.6,4.92,-6.5,1.04,0.274,490,10,1.6,2.7,1.2,3.5,
CDC1,YDR182W,1476,**,*,57147.2,9.85,26.5,1.7,0.112,491,3,1,2.6,2.2,5.5,
YJ24,YJR054W,1494,***,***,57516.5,8.22,5.5,1.2,0.101,497,3,1.4,2.2,1.4,4.6,
ALG2,YGL065C,1512,*,*,58046.9,6.2,-2,1.24,0.076,503,4,1.2,1.6,1.4,5,
YKR5,YKL175W,1512,*,*,55402.4,6.55,1,0.61,0.774,503,8,2.8,2,0.6,2.6,
FMP42,YMR221C,1515,**,**,56177.6,7.09,2.5,1.09,0.573,504,11,2.2,1.8,1.2,4.2,
YJY5,YJR015W,1533,*,*,58117,7.08,2,1.37,0.02,510,6,1.2,2.5,1.4,6.1,
YL004,YLR004C,1572,-,-,58531.2,8.39,11.5,1.23,0.021,523,12,2.7,2.9,1.3,4.8,
IPT1,YDR072C,1584,-,-,60873.1,8,10.5,1.71,0.192,527,8,0.9,2.1,2.7,3.6,
